id,valor,categoria
0,-0.6095,B
1,0.6082,A
2,-1.2167,C
3,-0.6152,B
4,0.3562,C
5,-0.1216,A
6,0.9608,C
7,0.5825,C
8,-0.6047,A
9,-2.6798,A
10,0.1029,A
11,0.7365,B
12,-0.8199,B
13,0.3073,C
14,-0.3009,A
15,-0.7687,C
16,-0.3484,B
17,-0.395,A
18,-0.9524,B
19,-0.317,C
20,-1.3419,A
21,-0.7443,B
22,1.4681,B
23,0.4136,A
24,-1.5168,A
25,2.0217,B
26,-0.0755,A
27,0.6571,B
28,1.0331,A
29,0.1445,A
30,-0.1871,C
31,-0.8407,B
32,-0.7206,A
33,-0.6098,A
34,-0.4064,B
35,0.1354,B
36,-0.4341,A
37,0.9745,A
38,-1.0924,B
39,-0.1036,C
40,0.7762,A
41,0.1142,C
42,-0.2357,C
43,0.4027,C
44,-0.4357,B
45,-1.2297,C
46,0.5835,A
47,-1.5138,C
48,-0.2596,B
49,1.9314,C
50,-0.7546,B
51,-1.3087,B
52,1.3133,C
53,-0.2278,B
54,2.2059,A
55,0.1965,A
56,-2.1302,C
57,-1.1803,B
58,-0.1316,A
59,-0.0935,B
60,0.5659,C
61,1.2776,A
62,-0.3733,A
63,1.4662,B
64,-1.4732,A
65,-0.0458,C
66,0.1523,C
67,-0.5619,A
68,-2.158,C
69,0.3631,B
70,-0.4686,A
71,-1.2073,C
72,-1.5379,B
73,0.3342,B
74,0.253,C
75,0.386,A
76,-1.47,B
77,0.321,A
78,0.2522,B
79,-0.7034,C
80,-1.158,C
81,-1.6661,B
82,0.3503,A
83,-0.4217,A
84,-0.0179,B
85,0.253,B
86,-2.0063,B
87,0.9672,B
88,-0.4043,B
89,-0.546,C
90,1.3256,C
91,0.1326,B
92,0.2013,A
93,-1.1385,A
94,1.7048,A
95,-0.5109,C
96,0.5236,B
97,0.1436,B
98,-0.4053,C
99,-0.589,C
100,1.3802,C
101,-0.3756,C
102,-0.2894,A
103,-0.0448,A
104,-2.2533,C
105,0.137,C
106,1.7922,A
107,-1.198,A
108,-0.7041,A
109,-0.9954,B
110,-0.3725,C
111,1.2465,C
112,-0.1551,C
113,0.4962,C
114,0.1794,C
115,-0.9157,A
116,0.5404,A
117,-0.1307,B
118,1.9965,A
119,0.0288,A
120,0.2053,B
121,-0.245,B
122,0.1989,C
123,1.6242,C
124,0.8085,A
125,0.3518,C
126,1.7311,C
127,-0.1414,C
128,1.4833,C
129,0.1026,A
130,-0.1308,B
131,0.979,B
132,-0.6901,C
133,-0.2363,B
134,0.5866,A
135,0.0827,B
136,-0.3182,A
137,0.5182,A
138,-0.4004,A
139,0.9985,B
140,0.3199,A
141,-0.6345,A
142,-0.9148,A
143,0.8772,A
144,1.9154,C
145,0.8217,C
146,-0.984,A
147,1.4498,B
148,1.0633,C
149,1.7427,A
150,-1.2542,B
151,0.5373,C
152,-0.5254,C
153,-1.1515,B
154,-0.4368,B
155,-0.1452,B
156,0.6501,C
157,2.5198,A
158,-0.0391,C
159,0.6897,A
160,0.7911,C
161,1.0585,A
162,0.5372,C
163,-0.5029,A
164,1.291,C
165,1.9526,A
166,0.7328,A
167,-0.1292,A
168,-0.5922,C
169,-0.43,B
170,-0.3071,C
171,1.7222,A
172,1.2206,B
173,-0.5899,B
174,2.4734,B
175,-1.7966,B
176,0.1694,A
177,0.326,A
178,-1.5247,B
179,0.9295,A
180,-0.6834,C
181,1.0923,B
182,0.2967,B
183,0.3113,A
184,0.7319,C
185,0.2995,C
186,0.181,A
187,-1.0295,A
188,0.3048,A
189,-1.1962,B
190,-1.9619,C
191,-1.039,B
192,-1.3195,A
193,-1.7697,C
194,0.2226,C
195,1.1662,C
196,0.4388,A
197,-0.8144,B
198,0.3632,A
199,1.4614,C
200,1.1488,B
201,0.6412,A
202,-1.509,B
203,-1.2787,B
204,1.3001,C
205,-1.0937,B
206,0.2605,B
207,0.4577,C
208,0.0392,B
209,-0.2177,A
210,-0.175,B
211,-0.227,A
212,-2.9362,A
213,0.9837,B
214,0.6068,C
215,-0.1145,A
216,-0.1951,C
217,-0.3169,B
218,-1.4156,A
219,-0.4135,B
220,-2.241,A
221,-0.0788,A
222,-0.3413,B
223,0.4509,B
224,1.5325,C
225,-0.8793,B
226,-0.621,B
227,-0.0112,B
228,0.5092,A
229,1.4939,B
230,0.9503,A
231,-2.1913,B
232,-0.5564,B
233,-0.5037,C
234,0.2775,B
235,0.2436,A
236,0.2358,B
237,-0.4946,B
238,-0.176,B
239,-1.1627,C
240,-1.7735,C
241,-0.2444,C
242,0.2215,B
243,-0.8099,B
244,-1.8798,C
245,-0.7191,B
246,0.929,B
247,0.0659,C
248,-1.6961,C
249,0.597,C
250,-1.1673,A
251,0.296,A
252,0.7084,A
253,-0.2114,B
254,-0.1979,C
255,0.0602,B
256,1.2397,B
257,0.1369,C
258,1.6124,C
259,1.0182,B
260,0.5135,C
261,1.3935,B
262,1.3864,C
263,0.9445,B
264,-1.2072,B
265,-1.8871,C
266,-0.0684,C
267,-0.2527,C
268,0.7748,A
269,-0.5661,B
270,-1.262,A
